pathway	10918.38802.R1.fastq.gz	10918.38895.R1.fastq.gz	10918.38896.R1.fastq.gz	10918.38899.R1.fastq.gz	10918.38903.R1.fastq.gz	10918.39015.R1.fastq.gz	10918.39024.R1.fastq.gz	10918.39025.R1.fastq.gz	10918.39027.R1.fastq.gz	10918.39028.R1.fastq.gz	10918.39029.R1.fastq.gz	10918.39125.R1.fastq.gz	10918.39127.R1.fastq.gz	10918.39130.R1.fastq.gz	10918.39136.R1.fastq.gz
PWY-6165	30.09268302806812	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PWY-6182	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.909058699743774	12.3072054101365	43.286111181939184	0.0	0.0	0.0	639.6123012860629
PWY-6185	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.44619425980967	10.736993288343445	54.04789751909928	0.0	0.0	0.0	611.205574625096
PWY-621	18259.942251430006	14039.478669812845	20091.807617167964	17362.45334391901	19416.307047182334	20511.445467555415	37797.63721863591	17255.858180009996	11591.110535108048	28077.361509368326	22031.177530889592	25312.71693973709	28184.474706135294	15158.49614454142	24230.138572396943
PWY-6210	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	7.0	0.0	0.0	0.0	0.0	0.0
PWY-6263	0.0	0.0	0.0	3002.4706431154887	0.0	0.0	0.0	0.0	0.0	66.99014796126693	0.0	76.01875969079809	11.995156080048423	0.0	0.0
PWY-6269	17951.19801931604	39059.84237150111	7648.8628236087	15472.893651693394	5883.670724775254	3034.491116749392	5494.063457235691	1687.862114397008	10140.601081068535	6767.112630343289	11095.06463832401	1959.1808551982167	20362.898102809046	8559.269355110691	6711.315447658166
PWY-6277	33456.66677606255	42609.4167259819	24185.15455376449	27777.504103905794	18191.722683754568	20195.453201606513	26911.261893261613	16996.612116012402	13548.579879304763	32129.840983586746	23965.68950709043	26609.870763144467	42086.8123632146	19970.996795674055	25129.35214935846
PWY-6282	903.5190371034396	4401.9030993129945	3902.3178871845785	9266.273758712112	14339.511060754368	6067.6926589297145	9890.671411212767	4620.137886333889	5576.352629798585	1561.0760798286622	9763.532317012696	601.4010321872262	744.4245376838669	9530.273378843238	13086.14088472622
PWY-6317	38422.102416550246	41139.17563757374	28346.12034890438	25992.940542917735	20524.002576366765	22339.626975746858	24748.251536093205	20660.376722230212	11377.148134704921	37373.674895953074	27370.8923272678	30712.27635946103	40786.41146277719	24420.031690022195	29537.514378684627
PWY-6353	2503.3395654011465	7313.963982223536	4767.311034728904	12327.82246979014	6685.242455642978	7723.11445866615	20345.16098123068	4725.814647817445	5729.767775321469	2590.347981810658	11725.445750465306	630.2033597666747	10030.027318968727	3891.1678936662856	8358.175107695986
PWY-6383	134.0838690498373	55.294416971691604	21.94174083705423	41.781622832870475	57.26741336949448	83.55068394188838	0.0	207.2816443393848	5.992219650203817	45.96293900086258	21.968401407928614	213.84533992784648	114.43522258139558	181.17357172441424	330.12344649060515
PWY-6385	32726.29157041183	39379.29453283477	24211.69076043981	25380.58431078216	18456.555081140566	19869.101977706527	22785.49614161642	16912.189135366523	11286.534405261065	31899.210230675417	22479.096908063842	26515.79400668157	37075.80789029566	19132.498627456134	25334.710011240524
PWY-6386	32725.364472639445	39540.23671969252	24218.35262642505	25371.737971699666	18417.125337770678	19759.800264522855	23534.07397379927	16980.44109330601	11084.144548811262	31898.300544145775	22170.14729758968	26587.603927258926	37301.00521145522	19119.766666356285	25316.717070257724
